_id,title,description,duration,contentUrl,department,createdAt,__v
670cca73e0941d56b05ee65f,Asper aliquid comitatus vesper vilitas pecus iure civis.,Excepturi succurro synagoga depulso acies deinde contra. Vetus averto spiritus valeo deripio summisse vivo. Audio veritas comparo soluta thema.,76,https://actual-stay.org/,Full Stack,2024-10-13T18:06:27.460Z,0
670cca73e0941d56b05ee660,Calamitas contego deprecator communis saepe termes quaerat curto concido.,Ante verecundia asperiores crudelis. Condico spiritus cibus canis tumultus cupiditate delibero thesaurus. Argentum volubilis ducimus agnosco despecto.,117,https://unsightly-handover.name,Data Engineering,2024-10-13T15:49:39.707Z,0
670cca73e0941d56b05ee661,Capto quisquam caute ea cuppedia contego averto.,Magni incidunt tui territo. Cum somniculosus sumptus attero teneo summa adfectus succedo. Tenax minima amissio cras stella torrens pariatur degusto temporibus.,147,https://critical-millet.com/,Data Engineering,2024-10-13T21:06:26.119Z,0
670cca73e0941d56b05ee662,Ter baiulus trans asperiores.,Vestrum pauci caveo ipsum sumptus. Currus cruciamentum suscipio. Dens sublime turbo sulum deporto facilis.,87,https://idolized-merit.net,Data Science,2024-10-13T10:55:17.867Z,0
670cca73e0941d56b05ee663,Voco acervus vir coniecto accusantium.,Surgo confero sapiente curatio tabgo valeo. Verbera temeritas spectaculum absorbeo vulgo vinitor. Vulnero decumbo voluntarius volva alter aliquid vereor creptio volo summisse.,145,https://complicated-championship.name,Data Science,2024-10-13T11:58:26.365Z,0
670cca73e0941d56b05ee664,Combibo depono callide defleo nesciunt odio.,Adeo centum cribro admoveo minus vespillo. Asper depromo celebrer sulum. Corona auctus quos amplexus expedita conculco velociter casus.,48,https://altruistic-intervention.info/,Full Stack,2024-10-14T03:31:09.151Z,0
670cca73e0941d56b05ee665,Succurro confugo delectus canto patria.,Vomer conduco sumptus facere tolero talus. Vae tamisium bestia vito deduco spes terga. Ab caput pariatur assumenda valetudo cauda somnus vilicus.,119,https://clear-conversation.com,Data Engineering,2024-10-13T12:18:30.201Z,0
670cca73e0941d56b05ee666,Cognatus adfero corpus.,Suscipio nam cimentarius delicate. Vado cunctatio aduro demitto tremo pax territo. Alii conculco auditor cogito vespillo tergiversatio tactus ubi.,67,https://imaginary-kettledrum.info,Data Engineering,2024-10-14T02:26:19.785Z,0
670cca73e0941d56b05ee667,Ago denego dapifer pel perferendis.,Ceno candidus compono acies condico admiratio atavus defetiscor. Atrox velit natus turpis uredo conqueror vado vetus debitis. Beatae auditor stella denuo testimonium.,78,https://elastic-impact.org,Data Engineering,2024-10-13T22:42:33.254Z,0
670cca73e0941d56b05ee668,Defungo vita subseco adsum volaticus terga astrum.,Vos ratione rerum tabella ager denique repellat sapiente peior cicuta. Solio aliquam tumultus desidero. Compono arca bibo utrum crapula arto odio ager.,179,https://failing-intellect.com/,Full Stack,2024-10-13T15:52:43.869Z,0
670cca73e0941d56b05ee669,Attonbitus veritatis cumque.,Absconditus debilito teneo testimonium vulgivagus. Pariatur desparatus ea dolor comedo facilis. Architecto copiose voveo vitae ipsa cotidie dedico caelestis ventus stillicidium.,72,https://fair-iridescence.com,Data Engineering,2024-10-13T23:55:45.407Z,0
670cca73e0941d56b05ee66a,Versus adicio cerno.,Conventus inventore cunae articulus brevis cubo villa cometes uredo. Optio veniam tego non. Eveniet conduco depromo cursim nulla cornu.,147,https://cautious-daughter.com,Full Stack,2024-10-13T10:15:54.484Z,0
670cca73e0941d56b05ee66b,Avaritia beneficium vae creo tepidus succedo succedo.,Tyrannus defendo quo tollo depopulo cui. Atrox ulciscor sed surculus adulatio debitis tego. Tubineus ver timor subito cinis arceo veritatis depulso.,124,https://unpleasant-cannon.net/,Full Stack,2024-10-13T10:30:57.142Z,0
670cca73e0941d56b05ee66c,Alii uredo thalassinus volva tres cimentarius infit cernuus allatus.,Hic tam aufero degero ventus agnitio. Angustus nihil verecundia vado administratio contabesco assentator vita. Urbanus usque abduco combibo colo contego non molestias volubilis.,165,https://frivolous-typewriter.biz,Data Science,2024-10-13T23:57:51.692Z,0
670cca73e0941d56b05ee66d,Vulgaris alo deserunt tantum victoria velit.,Cohaero amiculum alter tergeo attollo synagoga spargo. Desipio alioqui creber ventito casso aperiam consequatur defessus urbanus. Statim ultra cruentus adulescens somnus eligendi vesco depulso.,131,https://burly-bench.com/,Data Engineering,2024-10-14T04:29:28.635Z,0
670cca73e0941d56b05ee66e,Caput vilis crur culpa tertius.,Cetera cribro vomica quidem territo officiis bonus sequi. Ulterius validus antea quod. Desparatus doloribus illo.,178,https://grounded-secrecy.com/,Full Stack,2024-10-14T01:07:56.928Z,0
